,updrs_1,updrs_2,updrs_3
bagging_fraction,0.7662481474372647,0.30693560245690166,0.8206721374654345
bagging_freq,4.4511346792298285,3.9923305495568346,8.72227867345381
boosting,1.0,0.0,1.0
feature_fraction,0.7368717905579903,0.820174975427512,0.696854884433846
is_unbalance,0.0,0.0,0.0
lambda_l1,4.924832507056549,1.7262099618456759,1.3357567971782522
lambda_l2,7.728146819576027,9.968733070887914,9.155461845313473
learning_rate,0.2298336711105133,0.17853855584358422,0.8668172489696992
max_delta_step,1.0,5.0,9.0
max_depth,8.0,7.0,19.0
min_data_in_leaf,20.0,19.0,10.0
tree_learner,1.0,1.0,1.0
