,updrs_1,updrs_2,updrs_3
colsample_bytree,0.7500634826701612,0.3040938446675184,0.56055894691254
gamma,0.013478615800567058,5.4420285765026724e-05,0.013054831499357985
learning_rate,0.0013383340446221509,0.8747476933992571,0.002278199491371724
max_delta_step,4.0,8.0,5.0
max_depth,15.0,19.0,1.0
min_child_weight,10.142062096103487,9.599837667497296,2.363675204149518
reg_alpha,3.5236847588789337,7.384950046244836,7.48143921065437
reg_lambda,6.625189594105979,1.0415791306662583,9.368603135419995
scale_pos_weight,2.048692385373114,2.3726909146049677,2.095663667033696
subsample,0.5217274244312029,0.4874262623586616,0.6469919693842932
