Model,Target,Fold,SMAPE,R2,MAPE
rf_reg,updrs_1,0,65.47,0.11519991470684376,1911083561502406.2
rf_reg,updrs_1,1,67.22,0.1810552577272675,2081336463303468.2
rf_reg,updrs_1,2,66.9,0.06654320501474931,1311094657874683.0
rf_reg,updrs_1,3,64.6,0.18337291318792526,1425082698989538.0
rf_reg,updrs_1,4,64.82,0.1395420970822363,1350868451608925.8
rf_reg,updrs_2,0,92.63,0.13203059650462579,6705312678844801.0
rf_reg,updrs_2,1,91.56,0.12403726599369902,5685689305264894.0
rf_reg,updrs_2,2,94.84,0.14450242926104628,6085331160048845.0
rf_reg,updrs_2,3,93.92,0.1788582635413496,5430537691520368.0
rf_reg,updrs_2,4,90.19,0.1723898644333488,4990749558894516.0
rf_reg,updrs_3,0,86.08,0.1560462005194373,1.4526870439550782e+16
rf_reg,updrs_3,1,84.72,0.16809870749037625,1.0969026733928092e+16
rf_reg,updrs_3,2,82.6,0.19084587101001904,1.091443121014346e+16
rf_reg,updrs_3,3,82.65,0.2506069562472276,9628098369244346.0
rf_reg,updrs_3,4,84.77,0.15642104132222012,1.397460561150846e+16
rf_reg,updrs_4,0,154.0,0.011554771208645565,5648857111558836.0
rf_reg,updrs_4,1,152.81,-0.06803083622382866,5463182390079526.0
rf_reg,updrs_4,2,146.73,-0.003108851183566408,5456861548497251.0
rf_reg,updrs_4,3,148.55,0.04106552313678058,4541129624265250.0
rf_reg,updrs_4,4,149.21,0.08583039210314858,5501565420904630.0
xgboost,updrs_1,0,65.77,0.16271747597215946,1424959949786256.5
xgboost,updrs_1,1,68.98,0.16195333068468332,1729043446187363.0
xgboost,updrs_1,2,69.31,0.008659051509163573,1400710213209079.8
xgboost,updrs_1,3,69.54,0.09168209168379782,1587966878199059.2
xgboost,updrs_1,4,65.06,0.1667271182274086,1170943668739827.8
xgboost,updrs_2,0,95.57,0.11146639188439211,5696348758408604.0
xgboost,updrs_2,1,93.55,0.18547120380658033,5015031991219056.0
xgboost,updrs_2,2,96.1,0.15729886132286386,5351791536873549.0
xgboost,updrs_2,3,94.77,0.19851391927694906,4085273370140018.0
xgboost,updrs_2,4,90.6,0.23716301336150003,4479399603894935.5
xgboost,updrs_3,0,86.77,0.14142820477577756,1.4148145470188408e+16
xgboost,updrs_3,1,84.66,0.15875981912786674,9853256540880896.0
xgboost,updrs_3,2,86.69,0.11862568307060495,8985878932463461.0
xgboost,updrs_3,3,87.4,0.10474197038599431,1.0194599566707436e+16
xgboost,updrs_3,4,89.03,0.1485833076694345,1.1500924616109518e+16
xgboost,updrs_4,0,155.84,-0.036145164461806045,5384577805603032.0
xgboost,updrs_4,1,155.89,-0.10560706429980904,4941734729224695.0
xgboost,updrs_4,2,150.72,0.04823298517600472,4556737840469908.0
xgboost,updrs_4,3,151.31,-0.1881784591052662,4761296949302613.0
xgboost,updrs_4,4,158.22,-0.028573553385511152,4784297402222429.0
lgbm,updrs_1,0,64.81,0.1614791713225684,1724324335684480.5
lgbm,updrs_1,1,64.48,0.27236517917936587,2004661434226401.5
lgbm,updrs_1,2,65.11,0.10894644608687909,1401366725803606.2
lgbm,updrs_1,3,63.3,0.22377510608958506,1265668992715333.0
lgbm,updrs_1,4,63.9,0.14705241383008205,1187063130411178.0
lgbm,updrs_2,0,95.01,0.1568639483774299,5949877498411527.0
lgbm,updrs_2,1,92.1,0.17621716820147326,4863843424612144.0
lgbm,updrs_2,2,93.11,0.22119829627961551,5169102570117326.0
lgbm,updrs_2,3,91.43,0.2573938941353091,4690557020571458.0
lgbm,updrs_2,4,88.07,0.27161059972346535,3923879070923867.5
lgbm,updrs_3,0,85.42,0.21609592206081474,1.3087465884245942e+16
lgbm,updrs_3,1,84.06,0.21323452756579941,1.0120029759036744e+16
lgbm,updrs_3,2,83.92,0.1855318940726528,9607412931279362.0
lgbm,updrs_3,3,81.71,0.2718366830137049,9268361285237160.0
lgbm,updrs_3,4,86.54,0.17714461953226535,1.1810186247333494e+16
lgbm,updrs_4,0,158.03,0.022028468016203395,5484670045727912.0
lgbm,updrs_4,1,152.34,-0.08993562814230005,5350977112999361.0
lgbm,updrs_4,2,151.06,-0.1565464868590445,5792903624203563.0
lgbm,updrs_4,3,148.8,0.021114505137518447,4321305813876492.5
lgbm,updrs_4,4,153.3,0.013825351631922667,5153555217782872.0
