Model,Target,Month_Diff,SMAPE,R2,MAPE
rf_reg,updrs_1,6,143.59,-0.6539354016982366,532389813092727.44
rf_reg,updrs_1,12,149.82,0.004508304395372309,577734497652579.5
rf_reg,updrs_1,24,161.07,-0.02639237804878003,439551323631361.2
rf_reg,updrs_2,6,156.86,-0.4611406860538394,1174152759993023.2
rf_reg,updrs_2,12,171.76,-0.10240456217387606,1022180642697122.1
rf_reg,updrs_2,24,169.3,-0.07761680988184771,927741523238322.9
rf_reg,updrs_3,6,138.98,0.17924616162926454,1129235906566603.2
rf_reg,updrs_3,12,158.64,0.04651399521024324,1001821141598743.6
rf_reg,updrs_3,24,134.14,0.08263141398979268,866942928268821.4
rf_reg,updrs_4,6,200.0,-1.0,0.5
rf_reg,updrs_4,12,161.45,0.052863756586947974,1277037657049295.5
rf_reg,updrs_4,24,190.23,-0.08851290571870152,2241406891468239.8
xgboost,updrs_1,6,141.32,-0.6139770345841131,889720714596938.2
xgboost,updrs_1,12,150.75,-0.23017899571021094,719384485025441.2
xgboost,updrs_1,24,155.44,-0.0379842807080959,607348334956381.0
xgboost,updrs_2,6,140.6,-0.6572751265002297,2323738878916316.0
xgboost,updrs_2,12,164.35,-0.2432483339763123,1291658206348257.5
xgboost,updrs_2,24,171.51,-0.38292905636770813,1882239771460240.2
xgboost,updrs_3,6,122.43,0.2602734053402245,1191940994250981.0
xgboost,updrs_3,12,159.29,-0.11470594868253015,1887628196962472.2
xgboost,updrs_3,24,150.12,0.1589099747201127,2847216095985665.5
xgboost,updrs_4,6,200.0,-0.9999999999999081,361.5983581542969
xgboost,updrs_4,12,161.77,-0.16647829648995316,1789658391818726.5
xgboost,updrs_4,24,196.03,-0.28872460754122864,2165623994732229.5
lgbm,updrs_1,6,160.03,-0.725096527646238,998231964751372.4
lgbm,updrs_1,12,146.87,0.003399321327225535,827901006650989.8
lgbm,updrs_1,24,131.91,0.12511655983255976,855226553399431.4
lgbm,updrs_2,6,147.2,-0.7134148693000397,1692306886276782.5
lgbm,updrs_2,12,168.09,-0.07012680647189762,1112053224852842.1
lgbm,updrs_2,24,170.38,-0.028880777984754413,1301450306394489.0
lgbm,updrs_3,6,119.32,0.21498028361356858,675656452555964.1
lgbm,updrs_3,12,163.94,-0.101554723835096,1908386298219381.5
lgbm,updrs_3,24,142.58,0.04926546135522347,1665879514087319.8
lgbm,updrs_4,6,200.0,-1.0,0.5
lgbm,updrs_4,12,160.92,0.07361797869707432,1756709054151795.0
lgbm,updrs_4,24,160.09,-0.2648595388038584,4607092864763975.0
