Model,Target,Fold,SMAPE,R2,MAPE
rf_reg,updrs_1,0,67.12,0.15605085580055422,1933601559639259.0
rf_reg,updrs_1,1,63.07,0.1748453162909419,882831796113049.2
rf_reg,updrs_1,2,69.05,0.1110192776133263,1626977977532772.5
rf_reg,updrs_1,3,67.85,0.0899055369774322,2274000656918765.5
rf_reg,updrs_1,4,62.48,0.19181325409998062,1310906933788596.0
rf_reg,updrs_2,0,89.6,0.2188222096119702,5319508774815142.0
rf_reg,updrs_2,1,93.0,0.1987977003153899,5361388042378073.0
rf_reg,updrs_2,2,89.91,0.2056300089336719,5680638539327655.0
rf_reg,updrs_2,3,92.66,0.16140971041719188,5743675299414063.0
rf_reg,updrs_2,4,89.1,0.2521137661153059,4712710426970000.0
rf_reg,updrs_3,0,83.87,0.2036770384413108,1.2551234753959012e+16
rf_reg,updrs_3,1,83.64,0.23244112334740663,1.1916057259344022e+16
rf_reg,updrs_3,2,81.81,0.2895352486125713,1.0310906373286876e+16
rf_reg,updrs_3,3,82.11,0.25704935797411643,1.0278238865214514e+16
rf_reg,updrs_3,4,83.32,0.2352589374135844,1.1694631620059568e+16
rf_reg,updrs_4,0,148.24,-0.02899218683733662,5786335415973304.0
rf_reg,updrs_4,1,146.7,0.14042241146587464,4490562891607055.0
rf_reg,updrs_4,2,155.19,-0.10145724495937403,5726682473540589.0
rf_reg,updrs_4,3,143.81,0.03752241517061483,5752755945067471.0
rf_reg,updrs_4,4,151.75,-0.024693168719629455,5689281830151666.0
xgboost,updrs_1,0,64.25,0.17861949835680602,1688231930624823.8
xgboost,updrs_1,1,63.51,0.18999907890177103,894314251692817.8
xgboost,updrs_1,2,67.81,0.15976576476792792,1465153375150157.5
xgboost,updrs_1,3,70.06,0.05923778353768128,2126183042514329.2
xgboost,updrs_1,4,62.19,0.1507150024023597,1101503045822455.2
xgboost,updrs_2,0,92.99,0.20533272604241926,4750015208767029.0
xgboost,updrs_2,1,98.47,0.06746519436083553,4919653953055505.0
xgboost,updrs_2,2,92.27,0.23105783836296723,4730330775941541.0
xgboost,updrs_2,3,93.35,0.19979351834998504,4109874027232357.0
xgboost,updrs_2,4,88.16,0.25459867194956753,3971784014516974.0
xgboost,updrs_3,0,87.96,0.08591524471243528,1.1147379424812592e+16
xgboost,updrs_3,1,87.7,0.13000412113497928,1.0523583700399702e+16
xgboost,updrs_3,2,85.3,0.24079705550277342,8069008249734047.0
xgboost,updrs_3,3,80.65,0.2737943455101831,9229048979025202.0
xgboost,updrs_3,4,84.99,0.18867493013362546,1.1035553878290102e+16
xgboost,updrs_4,0,150.33,-0.06470079529923933,5276138651447943.0
xgboost,updrs_4,1,151.58,0.10642167667980307,3999395810276549.5
xgboost,updrs_4,2,159.23,-0.11553014155773034,5168544180007559.0
xgboost,updrs_4,3,154.2,-0.03415924531894543,5289925064454791.0
xgboost,updrs_4,4,157.53,-0.13287365014146113,5043584102923418.0
lgbm,updrs_1,0,64.09,0.27178769685123827,1572833594537189.0
lgbm,updrs_1,1,61.25,0.2487538870002598,823178990984754.4
lgbm,updrs_1,2,67.27,0.11092012368212023,1619798467566143.5
lgbm,updrs_1,3,68.14,0.05283857914915857,2483987331945063.0
lgbm,updrs_1,4,61.68,0.22213655460310433,1233215347183069.2
lgbm,updrs_2,0,88.0,0.2785745292435712,4955022233245796.0
lgbm,updrs_2,1,95.45,0.1826175853232459,4642943947267924.0
lgbm,updrs_2,2,88.82,0.28832232409640046,4598146874074397.0
lgbm,updrs_2,3,91.54,0.24137210167117362,4761334881656322.0
lgbm,updrs_2,4,89.0,0.30466122994832046,4382017895785029.5
lgbm,updrs_3,0,83.59,0.26907016943646955,1.0449263029793438e+16
lgbm,updrs_3,1,81.53,0.27417404756287034,1.0118531933946808e+16
lgbm,updrs_3,2,79.11,0.3904104589701477,8183511329064168.0
lgbm,updrs_3,3,81.91,0.34518244250948904,8463987647302102.0
lgbm,updrs_3,4,81.44,0.3106038873633935,9799191514441624.0
lgbm,updrs_4,0,152.63,0.05985212406977691,4964157535959322.0
lgbm,updrs_4,1,146.25,0.14357540406374736,4057687514464837.5
lgbm,updrs_4,2,157.7,-0.06577161560630418,5052004362039268.0
lgbm,updrs_4,3,146.91,0.11272844843143692,4933914887688065.0
lgbm,updrs_4,4,154.03,-0.11237129082940833,5354351433435659.0
