Model,Target,Fold,SMAPE,R2,MAPE
rf_reg,updrs_1,0,64.19,0.1743430742890939,1761454620611732.2
rf_reg,updrs_1,1,66.29,0.24502868677216172,1867310256713010.5
rf_reg,updrs_1,2,65.44,0.10797302109144546,1371493400540819.8
rf_reg,updrs_1,3,64.4,0.21372303397664805,1387446983793671.8
rf_reg,updrs_1,4,64.74,0.16350092219297663,1374337914455786.0
rf_reg,updrs_2,0,91.21,0.1578916468888275,6732670994338174.0
rf_reg,updrs_2,1,90.21,0.2150009015623996,5273210087057127.0
rf_reg,updrs_2,2,93.6,0.20643152306034118,5633498057246767.0
rf_reg,updrs_2,3,91.72,0.24197613293167264,5215929540263041.0
rf_reg,updrs_2,4,91.04,0.20443230376219224,4440168646703306.0
rf_reg,updrs_3,0,84.65,0.2061566457726388,1.4415767486479334e+16
rf_reg,updrs_3,1,83.63,0.23330035172438413,1.0219559777071344e+16
rf_reg,updrs_3,2,81.42,0.2623069755623958,1.0188119553257624e+16
rf_reg,updrs_3,3,80.26,0.2920702271948862,9475488239691272.0
rf_reg,updrs_3,4,83.38,0.2514239802874151,1.288392342687039e+16
rf_reg,updrs_4,0,151.07,0.034052657823875454,5551279119632475.0
rf_reg,updrs_4,1,151.22,-0.012299228551130303,5734583525518431.0
rf_reg,updrs_4,2,144.46,-0.0014494168659138218,5867716251345086.0
rf_reg,updrs_4,3,147.09,0.0509069491251154,4650164141559484.0
rf_reg,updrs_4,4,150.3,0.0826706598363649,5339754673230965.0
xgboost,updrs_1,0,65.3,0.12120688314834926,1369705095173513.0
xgboost,updrs_1,1,67.61,0.17257202232127655,1574650298724467.8
xgboost,updrs_1,2,64.69,0.11003887333566287,1191980994200165.5
xgboost,updrs_1,3,65.83,0.23426601381980627,1125845019983565.1
xgboost,updrs_1,4,67.33,0.09898013899188218,1145667135908523.5
xgboost,updrs_2,0,94.1,0.24930951994175998,4806235510940031.0
xgboost,updrs_2,1,94.14,0.12957534633094026,4552921632546586.0
xgboost,updrs_2,2,94.23,0.21513525536299505,5011528007879670.0
xgboost,updrs_2,3,96.23,0.12686964721632177,4849343759375961.0
xgboost,updrs_2,4,93.19,0.20380277132543623,3576514161518352.0
xgboost,updrs_3,0,89.63,0.11159258070919209,1.2808065872728296e+16
xgboost,updrs_3,1,82.57,0.20997738117990494,9469727053936834.0
xgboost,updrs_3,2,76.48,0.4156655389467925,8542921355769122.0
xgboost,updrs_3,3,82.1,0.252939604945727,7684173239002680.0
xgboost,updrs_3,4,86.12,0.2715505326819523,1.001531993238197e+16
xgboost,updrs_4,0,159.62,-0.032328364455620706,4306448894311585.5
xgboost,updrs_4,1,152.81,-0.07674923122333999,4917933700477575.0
xgboost,updrs_4,2,145.73,-0.07702885754498978,5449244582457128.0
xgboost,updrs_4,3,148.07,0.11340317491127039,3436154555967021.0
xgboost,updrs_4,4,151.78,0.13606002759001234,4770632025526671.0
lgbm,updrs_1,0,62.77,0.13884365307560043,1805887434406379.0
lgbm,updrs_1,1,65.4,0.25231403327453183,1724488619408585.5
lgbm,updrs_1,2,62.08,0.18480160239344956,1212353463090686.0
lgbm,updrs_1,3,63.15,0.26366157364445963,1195581428139613.5
lgbm,updrs_1,4,63.73,0.20004673898260217,1311827053991875.5
lgbm,updrs_2,0,93.18,0.23339446983091394,5709277355522988.0
lgbm,updrs_2,1,88.4,0.27976014309133757,4708389711505611.0
lgbm,updrs_2,2,93.62,0.2628261399478684,4661952400896868.0
lgbm,updrs_2,3,91.77,0.29190507916248387,4315695043899062.5
lgbm,updrs_2,4,89.21,0.26132164818936,3396453709721170.5
lgbm,updrs_3,0,85.88,0.2636784062814156,1.1865328090646552e+16
lgbm,updrs_3,1,83.09,0.2731755048313226,8471276171531516.0
lgbm,updrs_3,2,77.44,0.3518570797474341,8848892502001305.0
lgbm,updrs_3,3,79.61,0.36214685265037627,7725525737467512.0
lgbm,updrs_3,4,83.24,0.28486878071669175,1.1787274089495908e+16
lgbm,updrs_4,0,152.08,0.044260872196250634,5086965169992418.0
lgbm,updrs_4,1,154.23,-0.015221181113268756,4882485532998175.0
lgbm,updrs_4,2,150.65,-0.0057888397276377734,5159756275341833.0
lgbm,updrs_4,3,147.19,0.18393028090490826,3746157144528483.0
lgbm,updrs_4,4,154.83,0.06583887291682178,4983065346293861.0
