,0
P16152_P43121,0.024660751
P04211_Q02818,0.02398668
P02655_P11142,0.023390478
P80748_Q15904,0.020606615
P01591_Q14624,0.01895035
Q6UXB8_Q99683,0.017194465
P04196_P35542,0.01682393
P20774_Q14624,0.016723378
Q14515_Q9Y6R7,0.01642574
P11142_P36980,0.015108569
P00751_P04180,0.014947593
P27169_Q16270,0.014100955
O15240_P07602,0.013018521
P01877_P19827,0.012963206
P02768_P06727,0.01271658
P01608_Q8IWV7,0.0126379505
P05408_P13611,0.011535465
P05090_Q9UHG2,0.011397212
P07602_P08571,0.01055196
P01621_Q99435,0.010413617
P04180,0.010392704
P02750_P05060,0.010181091
Q6UXB8_Q9Y6R7,0.0100441715
P13671_P80748,0.009472033
P01861_P01876,0.009206842
P12109_P18065,0.008412307
P01591_P07195,0.008365078
P02790_P05090,0.008318854
P01859_Q6UXD5,0.0082223
P06681_Q12841,0.008114599
P13591_Q16270,0.008105765
P05408_P36980,0.008086822
P02790,0.007920608
P02452_Q9UBR2,0.007851114
P23083_Q13451,0.007815792
P80748_Q9Y6R7,0.007770707
P02747_P13591,0.007373288
P35542_Q14515,0.0073350463
O15240_P01859,0.00721898
P01859_P08253,0.0070849233
P04180_P04211,0.006916846
P02753_P61916,0.006611623
P01857,0.0065842667
P04180_Q12841,0.00648469
P04207_P16152,0.0064837313
P00738_Q16610,0.0061996854
O14773_Q9UNU6,0.006109023
P02749_Q6UXD5,0.006060097
P02748_P08123,0.006057501
P01860_Q7Z5P9,0.0059845056
P04211_P09486,0.0058557116
P19827_P55290,0.0058520134
P16152_Q96S96,0.0056442693
P00441_Q9UNU6,0.0054750154
P16870_Q8NBJ4,0.0054701883
P06681_P09104,0.005465712
O94919_Q13740,0.005433522
O00391_P02774,0.0053213467
P00738_P01608,0.005242137
P00736_P13671,0.0050537107
P41222_Q99683,0.0049992036
P00746_Q12805,0.0049917065
P05452_Q16270,0.0049166875
P01608_P16870,0.004876767
P08493_P61916,0.0048119538
O75144_P19827,0.0045008766
P98160,0.004456789
P02748_P08637,0.00437382
P09486_P27169,0.0042705946
P01877_P14174,0.0042476226
P06454_P36980,0.0042240564
P01876_P06727,0.0040753614
P04211_P19823,0.004040169
P06310_P16870,0.0040172087
O75144_P01009,0.0040087975
P04406_Q9UBR2,0.0039244825
P19652_Q9UBX5,0.0038625535
P01034_P08571,0.0038381405
P01608_P01621,0.0037214532
P05408_P09871,0.0036602868
P01859_P04156,0.0036247703
Q92823_Q96S96,0.0035799998
P02763_P08603,0.0034553271
P01008_P24592,0.0034329449
P00734_P27169,0.003323724
P01621_P06310,0.0032065772
P02749_Q9Y6R7,0.0031565942
Q7Z5P9_Q99832,0.0031470913
P01860_P02765,0.0030941172
P01860_P08123,0.0030646438
O60888_P55290,0.003038831
P09871_Q9NQ79,0.0029732375
P05060_P16070,0.0029499684
P19021_Q08380,0.002891548
P25311_P32754,0.0028898544
O00391_P13611,0.002863991
O15240_P08697,0.0028610963
P05090_Q6UXB8,0.0028573791
O94919_P61916,0.0028138813
P01591_P01876,0.0028137525
P01877_Q7Z5P9,0.0026812702
P01621_P02649,0.002614599
O60888_P01621,0.00248648
P16870_Q9UBR2,0.0024542783
P02763_P25311,0.0024451483
P02652_P13671,0.0024447348
P01591_P07602,0.002358551
P04217_Q562R1,0.0023312008
P19021_Q12841,0.0023000333
P06681_Q6UXB8,0.002267473
P04004_P05090,0.0022597716
P02655_P02792,0.0022366669
P01608_Q12805,0.0022203205
P08253_P32754,0.0022044491
O14791_P07858,0.0021903145
P01608_P01861,0.0021583925
P05408,0.0020618688
P61769_Q9Y6R7,0.002053546
P00738_Q99674,0.0020411017
P01008_P51884,0.0020325899
P07339_Q16270,0.0019783573
P20933_P51884,0.0019712937
P04433_Q8IWV7,0.0019591074
P01859_P36955,0.0019385875
P61916,0.001931634
P01031_P04196,0.0018726315
P23142_Q99674,0.0018705023
P16152_Q8N2S1,0.001861298
P07333_P23083,0.0018493388
P04207_P19823,0.0018475573
P17936_Q9UBX5,0.0018193797
P06454_Q562R1,0.0018088183
P01344_P25311,0.0018054114
P01877_Q13283,0.0017969765
Q562R1_Q6UXB8,0.0017754686
O15240_P06454,0.0017619915
P08133_Q99969,0.0017539863
P02792_Q92823,0.0017525944
P02656,0.0017371362
P01859_P02675,0.0017190262
P35542_Q9Y646,0.0017111982
P01594_Q9Y6R7,0.0016186294
P01608_P07195,0.0016107515
O75326_Q99969,0.0016017557
O75326_P11142,0.0015917141
P01857_P18065,0.0015912108
P06727_P80748,0.0015681781
P02751_P43251,0.0015585874
P07711_P13671,0.0015526882
P01834_P27169,0.0015260105
P02647_P02655,0.0015057822
O94919_P06454,0.001482654
Q9UKV8,0.0014748346
Q06481,0.0014571211
P01019_Q13283,0.0014495173
Q99969_Q9NYU2,0.001438665
P19827_P60174,0.0014110736
P01876_P02452,0.0013639497
P20774_Q96PD5,0.0013424249
P14314_Q8IWV7,0.0013366066
P02766_P05090,0.0013324395
P18065_P61769,0.0013206997
O00391_P36955,0.0013127947
P01717_P02792,0.0012781727
P31997_Q6UXB8,0.0012744077
P08253_P17174,0.0012464093
P02753_P16035,0.0012313805
P13591_Q8IWV7,0.0012281573
P02790_P18065,0.001226023
P19827_P49588,0.0012248453
P00748_Q9NYU2,0.0011861301
P20933_Q12907,0.0011394328
Q8IWV7_Q9HDC9,0.0011328664
P23083_Q6UX71,0.0011216276
P01591_Q6UXB8,0.0011126834
P01860_Q99435,0.0011089841
P00746_P36980,0.0010877801
P60174_Q6UXD5,0.0010652278
P00734_P23083,0.0010639143
O75326_P08133,0.0010325768
P14174_P61278,0.0010295261
P07225_P07998,0.001028243
O00391_P16152,0.0010128058
P05155_P80748,0.0010064932
P00738_Q13451,0.0009935756
P08637_P17936,0.00097333227
P01591_P01608,0.00097201136
O00533_Q99674,0.0009394584
P00751_Q9NYU2,0.00093438866
P01860_Q16610,0.00092816324
P19021_P19827,0.00092809304
P31997_Q8N2S1,0.0008858073
O14498_P80748,0.0008854235
O00584_Q15904,0.00088422775
Q06481_Q96PD5,0.00088390795
P02792_P05090,0.0008788917
P02655_P10643,0.00087466283
O14773_P02751,0.00087395177
O75144_P24592,0.000866722
P02750_Q6UX71,0.0008517347
O14773_P04156,0.0008451101
P02753_P02792,0.0008354099
P01857_P02652,0.00083068135
P00746_Q9UKV8,0.00081288593
O75326,0.00080624665
P23083_Q13283,0.00078449515
P06396_P43652,0.00077475636
P04207_Q02818,0.0007731221
Q99829,0.0007695259
O15240_P80748,0.00076456147
P01008_P07333,0.000752332
P02649_P16035,0.0007456758
Q15904_Q96KN2,0.0007450075
P16870_P43652,0.0007347518
P01031_P04180,0.0007309034
P07602_Q8N2S1,0.00072952296
P02649_P02766,0.00072039897
P55290_P80748,0.0007188735
O15240_P08637,0.0007107083
P05156_Q9Y6R7,0.0007106221
P08697_Q99683,0.00069923326
O75326_Q9Y646,0.00069348066
P07998_P13987,0.0006921512
P02671_Q9Y6R7,0.00069201546
P55290_P60174,0.0006874454
P25311_P49588,0.0006760947
P01608_Q7Z3B1,0.00066795666
Q99829_Q99969,0.0006293998
Q02818_Q13283,0.0006283715
P08294_P32754,0.0006278062
Q8IWV7_Q9Y6R7,0.0006247424
O14791_P07333,0.00061747385
P05155_Q99829,0.0006168812
P01034_P02763,0.000614685
P01859_P80748,0.000612631
O00584_P01717,0.00060874596
P01860_P09104,0.0006079765
P09104_P13521,0.0006062611
O00391_Q6UXB8,0.0005994094
O14773_P02679,0.0005948745
P25311_P43251,0.0005876913
O75326_Q9UKV8,0.0005840765
P00747_P80748,0.0005747804
P06454_P31997,0.0005697405
P08123_P49588,0.0005668111
P00736_P23083,0.00055923616
O14773,0.0005470348
O94919_Q8IWV7,0.0005459101
P01860_Q92520,0.000538265
P06727_Q06481,0.00053437444
P13591_P36955,0.00052517286
P17174_Q9BY67,0.000519551
P32754_P39060,0.0005150416
P01717_P05452,0.0005062705
P00450_Q9UKV8,0.0005052146
P02452,0.0005041269
O14498_P00748,0.0004953823
P01024_P23083,0.00049297896
O94919_P02751,0.00049292843
P01717_P61278,0.00047963718
P02655_P43251,0.00047924713
P09871_P39060,0.0004693608
P00747_P04196,0.00046814597
P18065_Q9UHG2,0.0004612689
P04211_Q6UXB8,0.00046040156
P02671_Q9UKV8,0.00045909415
P01833_P61626,0.00045783076
P19652_Q14508,0.00045543886
P02760_Q99832,0.00045203848
P01023_Q9NYU2,0.0004516521
P10451_Q13283,0.00044465926
P19823_Q92823,0.0004315756
P02792_P04004,0.0004308043
P07998_Q99832,0.00042004613
P01833_P43251,0.000416768
P39060,0.00039163596
P01019_Q14508,0.00038868777
O14791_P01621,0.00038582136
O75144_Q92876,0.00038395321
P04004_P06310,0.00038175468
P05090_Q7Z5P9,0.0003814596
Q12841_Q9Y6R7,0.00038066792
P02647_P08697,0.0003794233
P00747_P01594,0.00037913225
O15240_P36955,0.0003785256
P61626_Q16610,0.00037350698
P00748_P02748,0.00037054592
O75326_P05155,0.00036744005
P14314_Q6UXB8,0.00036664816
P04207_P30086,0.00036089716
P02679_P10645,0.00036065571
P05408_Q6UXB8,0.00035544595
P02655_P05060,0.0003525584
P16152_Q9Y646,0.00035134997
P02649_Q13332,0.000345219
P35542_Q99674,0.00034283145
P02753,0.0003422875
P08294_Q9HDC9,0.00033675265
P18065,0.00033586187
P01833,0.00033285565
O15240_P02747,0.00033272032
P02655_Q9NQ79,0.00033061454
P01031_P04075,0.0003287435
P02792_P55290,0.00032075783
P08253_P35542,0.0003192183
P01033_P05060,0.0003073648
P01024_P01861,0.0003058997
P01008_Q9UBX5,0.00030578885
P04216_P08571,0.00030442068
P01031_P24592,0.00030356104
P04180_Q13451,0.00030325665
P01594_Q99683,0.00029933915
P00748_P51884,0.00029768818
P05156_Q06481,0.00029593197
P01780_P07225,0.00029513348
P08253_Q15904,0.0002917427
O14498_P30086,0.00029151983
Q14515_Q9HDC9,0.00029073225
P07339_P18065,0.00029010483
P02655_Q96BZ4,0.00028835027
P02655_P02753,0.0002882162
P01011_P01019,0.0002879231
P02656_P17936,0.00028440842
P01859_P02768,0.00028219246
O00533_P05408,0.0002735808
P02768_P13671,0.0002735337
P04211_Q9UBX5,0.00027232504
P02747_Q8NE71,0.00027183615
P06681_P43652,0.00027027272
P01011_Q99829,0.00026936494
