iter	Logloss
0	0.6914372848
1	0.6885792143
2	0.6861668704
3	0.6837307455
4	0.6812827508
5	0.6795244712
6	0.6776241148
7	0.6761202198
8	0.673431566
9	0.6711139503
10	0.6688493539
11	0.6669251603
12	0.6648110765
13	0.6627207588
14	0.6602898629
15	0.65830435
16	0.6562106256
17	0.6541635729
18	0.6518611089
19	0.6503048098
20	0.6490612202
21	0.6472342448
22	0.645846509
23	0.6438765034
24	0.6419435444
25	0.6398446506
26	0.6378986755
27	0.6356241001
28	0.633506265
29	0.6313389108
30	0.6292562792
31	0.6270556766
32	0.6251882357
33	0.6228624467
34	0.6212496488
35	0.6195111424
36	0.6177448623
37	0.6159279503
38	0.6138068485
39	0.6126172824
40	0.6108795518
41	0.6091499862
42	0.6069253393
43	0.605610414
44	0.6037596309
45	0.60190421
46	0.6004145641
47	0.5986353556
48	0.597235316
49	0.5954877122
50	0.5938963352
51	0.5926289785
52	0.5907806341
53	0.5888004302
54	0.587284234
55	0.5855370842
56	0.5840896687
57	0.5822372889
58	0.5805341941
59	0.5790187987
60	0.5773640232
61	0.5755700092
62	0.5734652227
63	0.5717551058
64	0.5707689224
65	0.5690239343
66	0.5669384746
67	0.5653526218
68	0.5640258786
69	0.5626275518
70	0.5607918814
71	0.5592412602
72	0.5575083821
73	0.5562215908
74	0.5549689788
75	0.5534096553
76	0.5520690566
77	0.5501810373
78	0.5487859583
79	0.5472527457
80	0.5460656935
81	0.5451061496
82	0.5436085029
83	0.5423645237
84	0.5412812633
85	0.5396541413
86	0.5383757927
87	0.5370395502
88	0.5357085955
89	0.5342772411
90	0.5323981463
91	0.5311964297
92	0.5302737371
93	0.5284896937
94	0.5267853926
95	0.5256367441
96	0.5244142751
97	0.5231206503
98	0.52221442
99	0.5207169932
100	0.5193687056
101	0.5185079563
102	0.5165334308
103	0.515248471
104	0.5139275377
105	0.5128666709
106	0.511555108
107	0.5103043469
108	0.5093021672
109	0.5079702815
110	0.5067866302
111	0.5055988697
112	0.5043872133
113	0.5030459111
114	0.5021255463
115	0.5010043648
116	0.4997570311
117	0.4984416052
118	0.4968308248
119	0.4955006389
120	0.4942313347
121	0.4928087883
122	0.4916281715
123	0.4902180233
124	0.4887770413
125	0.4874926244
126	0.4864708049
127	0.485502235
128	0.4845542027
129	0.4833944027
130	0.4820616101
131	0.4808725049
132	0.4799145171
133	0.4785025678
134	0.4773387135
135	0.4764646808
136	0.4755836952
137	0.4746096776
138	0.4734457982
139	0.4723706174
140	0.4714774687
141	0.4701840047
142	0.4690797667
143	0.4680819432
144	0.4665266796
145	0.4652305377
146	0.4643924528
147	0.4636649191
148	0.4622413352
149	0.4611009308
150	0.4598738313
151	0.4586432519
152	0.4577529829
153	0.4566003584
154	0.4557874876
155	0.4545675415
156	0.4535257215
157	0.4521578419
158	0.4505784535
159	0.4493357892
160	0.4482617395
161	0.4468193965
162	0.4457019495
163	0.4446512677
164	0.4436006182
165	0.4423356934
166	0.4415213862
167	0.4407598659
168	0.439546412
169	0.4384610365
170	0.4373236383
171	0.4365268966
172	0.4354405709
173	0.4345895925
174	0.4335007975
175	0.4324378447
176	0.4315280518
177	0.4302794729
178	0.4294966714
179	0.4284487923
180	0.4276005172
181	0.4265990546
182	0.4254612168
183	0.4245404694
184	0.4235361047
185	0.4225641462
186	0.4216304051
187	0.420455891
188	0.4195999098
189	0.4183200075
190	0.4173780153
191	0.4165325593
192	0.4152156903
193	0.4143902234
194	0.4134096773
195	0.4119578518
196	0.4109260935
197	0.410087125
198	0.4092439106
199	0.4083612541
200	0.4073023641
201	0.4061970055
202	0.4054983396
203	0.4045054583
204	0.4036904678
205	0.4025746992
206	0.4014798503
207	0.4004667183
208	0.3992922721
209	0.3984126649
210	0.3973568967
211	0.396185561
212	0.3954339606
213	0.3943828768
214	0.3934623775
215	0.3920402614
216	0.3906708519
217	0.3896359003
