iter	Passed	Remaining
0	149	149705
1	281	140594
2	408	135793
3	518	129086
4	639	127313
5	748	123983
6	855	121398
7	969	120201
8	1081	119103
9	1195	118308
10	1312	118018
11	1429	117675
12	1533	116452
13	1644	115834
14	1745	114649
15	1849	113748
16	1949	112755
17	2049	111834
18	2149	110996
19	2253	110406
20	2362	110129
21	2468	109714
22	2569	109128
23	2683	109117
24	2784	108614
25	2885	108088
26	2987	107673
27	3089	107252
28	3187	106742
29	3288	106314
30	3388	105923
31	3497	105803
32	3597	105420
33	3697	105063
34	3899	107520
35	4096	109703
36	4198	109286
37	4298	108831
38	4399	108396
39	4501	108031
40	4600	107613
41	4704	107314
42	4802	106892
43	4902	106524
44	5000	106126
45	5102	105818
46	5200	105454
47	5301	105145
48	5404	104885
49	5507	104645
50	5608	104368
51	5710	104106
52	5818	103965
53	5926	103815
54	6034	103684
55	6134	103402
56	6236	103169
57	6338	102939
58	6442	102752
59	6547	102571
60	6651	102385
61	6751	102150
62	6851	101907
63	6952	101687
64	7055	101486
65	7156	101270
66	7263	101147
67	7386	101239
68	7488	101034
69	7594	100903
70	7695	100689
71	7800	100533
72	7911	100468
73	8018	100340
74	8138	100379
75	8239	100176
76	8346	100045
77	8454	99941
78	8571	99930
79	8679	99809
80	8782	99640
81	8904	99687
82	9023	99697
83	9128	99546
84	9231	99379
85	9338	99253
86	9450	99178
87	9551	98989
88	9657	98851
89	9763	98715
90	9864	98533
91	9966	98365
92	10077	98281
93	10180	98122
94	10279	97925
95	10400	97937
96	10518	97915
97	10618	97729
98	10729	97645
99	10837	97535
100	10941	97389
101	11054	97327
102	11174	97316
103	11287	97247
104	11404	97211
105	11513	97108
106	11638	97130
107	11740	96969
108	11853	96894
109	11954	96724
110	12064	96623
111	12174	96525
112	12275	96360
113	12383	96245
114	12505	96238
115	12620	96179
116	12728	96063
117	12834	95928
118	12944	95835
119	13044	95660
120	13151	95541
121	13257	95409
122	13368	95317
123	13476	95203
124	13583	95084
125	13686	94933
126	13801	94873
127	13916	94804
128	14016	94641
129	14121	94502
130	14224	94362
131	14324	94195
132	14424	94033
133	14522	93856
134	14621	93683
135	14723	93540
136	14823	93377
137	14922	93213
138	15024	93066
139	15129	92940
140	15229	92779
141	15328	92616
142	15424	92441
143	15528	92308
144	15631	92174
145	15732	92026
146	15832	91871
147	15931	91712
148	16040	91613
149	16139	91455
150	16236	91289
151	16339	91154
152	16439	91007
153	16536	90843
154	16638	90704
155	16736	90546
156	16834	90393
157	16938	90265
158	17035	90108
159	17133	89949
160	17234	89809
161	17339	89692
162	17438	89545
163	17542	89421
164	17640	89273
165	17743	89143
166	17841	88992
167	17942	88857
168	18042	88716
169	18140	88565
170	18241	88434
171	18346	88318
172	18446	88181
173	18545	88040
174	18645	87898
175	18743	87752
176	18844	87619
177	18944	87485
178	19045	87355
179	19146	87223
180	19254	87122
181	19357	87002
182	19460	86881
183	19559	86743
184	19662	86620
185	19762	86485
186	19868	86381
187	19972	86262
188	20073	86135
189	20227	86233
190	20485	86767
191	20584	86628
192	20684	86488
193	20788	86369
194	20889	86235
195	20988	86096
196	21088	85960
197	21190	85833
198	21290	85696
199	21392	85568
200	21494	85444
201	21600	85331
202	21700	85199
203	21802	85073
204	21905	84951
205	22005	84817
206	22107	84693
207	22207	84560
208	22308	84430
209	22406	84290
210	22514	84189
211	22615	84060
212	22715	83931
213	22814	83797
214	22920	83685
215	23021	83558
216	23121	83428
217	23225	83311
218	23331	83206
219	23449	83140
220	23553	83024
221	23661	82922
222	23773	82835
223	23884	82742
224	24001	82672
225	24113	82582
226	24228	82506
227	24343	82427
228	24461	82357
229	24564	82236
230	24667	82119
231	24792	82072
232	24909	81998
233	25022	81912
234	25146	81860
235	25258	81769
236	25362	81652
237	25474	81561
238	25579	81449
239	25704	81398
240	25813	81295
241	25926	81206
242	26029	81088
243	26140	80991
244	26253	80903
245	26356	80783
246	26462	80674
247	26656	80828
248	26763	80719
249	26871	80615
250	26985	80525
251	27109	80469
252	27225	80384
253	27332	80276
254	27453	80208
255	27556	80087
256	27668	79990
257	27774	79879
258	27885	79779
259	28004	79705
260	28120	79622
261	28228	79513
262	28342	79423
263	28448	79310
264	28552	79192
265	28669	79110
266	28783	79019
267	28892	78914
268	29022	78866
269	29129	78757
270	29242	78662
271	29344	78540
272	29444	78411
273	29544	78282
274	29646	78158
275	29747	78033
276	29865	77951
277	29965	77824
278	30073	77717
279	30176	77596
280	30278	77474
281	30382	77355
282	30487	77241
283	30589	77119
284	30689	76993
285	30788	76862
286	30888	76737
287	30985	76603
