iter	Passed	Remaining
0	121	121587
1	223	111738
2	325	108126
3	430	107145
4	528	105141
5	627	104027
6	732	103898
7	830	102951
8	932	102665
9	1032	102215
10	1130	101675
11	1230	101344
12	1329	100918
13	1426	100499
14	1528	100382
15	1627	100080
16	1727	99870
17	1834	100093
18	1955	100958
19	2068	101341
20	2178	101537
21	2285	101605
22	2392	101640
23	2491	101317
24	2590	101028
25	2691	100845
26	2792	100615
27	2891	100384
28	2994	100250
29	3092	99983
30	3191	99772
31	3290	99537
32	3387	99271
33	3485	99026
34	3584	98820
35	3681	98579
36	3780	98396
37	3879	98205
38	3978	98038
39	4076	97824
40	4174	97652
41	4275	97516
42	4372	97315
43	4474	97213
44	4573	97070
45	4674	96948
46	4774	96803
47	4871	96622
48	4972	96513
49	5081	96554
50	5187	96530
51	5285	96366
52	5387	96260
53	5485	96089
54	5586	95978
55	5686	95857
56	5785	95720
57	5882	95546
58	5981	95407
59	6080	95263
60	6178	95110
61	6277	94970
62	6379	94882
63	6490	94924
64	6594	94861
65	6703	94865
66	6805	94766
67	6908	94688
68	7008	94563
69	7107	94431
70	7207	94311
71	7309	94206
72	7406	94054
73	7504	93902
74	7602	93769
75	7701	93636
76	7802	93524
77	7900	93383
78	8000	93273
79	8101	93163
80	8199	93027
81	8298	92908
82	8400	92811
83	8499	92683
84	8597	92544
85	8696	92423
86	8794	92292
87	8892	92156
88	8992	92041
89	9089	91907
90	9192	91826
91	9290	91690
92	9390	91580
93	9491	91484
94	9589	91349
95	9688	91232
96	9785	91097
97	9883	90972
98	9983	90863
99	10083	90754
100	10183	90639
101	10280	90510
102	10381	90410
103	10480	90296
104	10579	90175
105	10680	90077
106	10778	89951
107	10877	89838
108	10976	89726
109	11076	89615
110	11173	89487
111	11271	89366
112	11370	89252
113	11468	89132
114	11567	89017
115	11664	88889
116	11761	88767
117	11862	88669
118	11960	88547
119	12062	88455
120	12161	88350
121	12264	88260
122	12363	88149
123	12461	88035
124	12562	87938
125	12661	87829
126	12759	87706
127	12857	87590
128	12954	87464
129	13051	87344
130	13152	87246
131	13251	87138
132	13354	87057
133	13454	86950
134	13552	86835
135	13653	86740
136	13752	86628
137	13849	86508
138	13946	86388
139	14047	86292
140	14146	86183
141	14246	86078
142	14343	85962
143	14440	85842
144	14540	85739
145	14639	85629
146	14739	85526
147	14837	85417
148	14936	85308
149	15036	85206
150	15134	85094
151	15233	84984
152	15332	84878
153	15435	84796
154	15535	84692
155	15634	84584
156	15731	84470
157	15829	84356
158	15928	84252
159	16026	84139
160	16126	84039
161	16225	83929
162	16324	83827
163	16424	83727
164	16522	83616
165	16622	83511
166	16720	83400
167	16820	83302
168	16920	83198
169	17027	83132
170	17131	83051
171	17230	82945
172	17329	82842
173	17435	82768
174	17533	82657
175	17633	82558
176	17733	82455
177	17831	82346
178	17932	82250
179	18032	82147
180	18134	82057
181	18232	81948
182	18334	81855
183	18432	81743
184	18530	81633
185	18627	81518
186	18724	81404
187	18825	81308
188	18924	81205
189	19022	81094
190	19120	80987
191	19221	80889
192	19320	80786
193	19420	80687
194	19518	80576
195	19619	80479
196	19717	80372
197	19816	80268
198	19915	80162
199	20011	80047
200	20113	79954
201	20212	79849
202	20310	79742
203	20407	79629
204	20509	79538
205	20607	79427
206	20707	79327
207	20804	79217
208	20902	79107
209	21001	79004
210	21100	78902
211	21197	78791
212	21297	78689
213	21397	78590
214	21494	78481
215	21594	78379
216	21692	78273
217	21791	78169
218	21891	78069
219	21991	77970
220	22091	77869
221	22190	77768
222	22289	77664
223	22388	77559
224	22487	77458
225	22586	77354
226	22685	77251
227	22787	77157
228	22890	77068
229	22989	76963
230	23086	76855
231	23189	76764
232	23288	76663
233	23386	76555
234	23483	76447
235	23581	76341
236	23692	76275
237	23791	76173
238	23890	76069
239	23990	75968
240	24088	75864
241	24189	75767
242	24289	75667
243	24387	75561
244	24487	75460
245	24588	75364
246	24686	75260
247	24786	75158
248	24883	75050
249	24981	74944
250	25083	74850
251	25182	74747
252	25283	74651
253	25382	74547
254	25482	74447
255	25584	74355
256	25682	74249
257	25782	74148
258	25879	74042
259	25980	73943
260	26080	73844
261	26184	73756
262	26284	73655
263	26385	73560
264	26487	73465
265	26586	73362
266	26684	73257
267	26782	73151
268	26883	73055
269	26981	72950
270	27079	72844
271	27179	72744
272	27281	72651
273	27381	72550
274	27481	72450
275	27579	72345
276	27679	72247
277	27779	72145
278	27880	72049
279	27978	71944
280	28078	71845
281	28178	71746
282	28279	71648
283	28378	71545
284	28476	71440
285	28577	71344
286	28676	71242
287	28776	71141
288	28874	71037
289	28974	70938
290	29074	70837
291	29173	70734
292	29269	70627
293	29368	70524
294	29467	70423
295	29567	70323
296	29665	70217
297	29762	70111
298	29863	70014
299	29963	69915
300	30063	69814
301	30163	69715
302	30264	69618
303	30363	69515
304	30460	69409
305	30561	69311
306	30661	69213
307	30763	69117
308	30863	69018
309	30965	68922
310	31064	68822
311	31162	68717
312	31264	68621
313	31364	68522
314	31464	68423
315	31563	68322
316	31669	68233
317	31771	68138
318	31870	68038
319	31968	67933
320	32066	67828
321	32167	67730
322	32267	67630
323	32367	67532
324	32465	67428
325	32564	67326
326	32664	67227
327	32761	67120
328	32861	67021
329	32960	66918
330	33058	66815
331	33158	66715
332	33258	66615
333	33357	66515
334	33454	66409
335	33552	66305
336	33651	66203
337	33748	66098
338	33846	65995
339	33944	65892
340	34043	65790
